,movieid,title,genres,Average Rating,Number of Ratings,model_score,imdbid,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,tmdbId
0,1,Toy Story (1995),Animation|Children's|Comedy,4.146846413095811,2077,8613.0,114709.0,Toy Story,1995,1996-03-22,"Animation, Adventure, Comedy",81.0,USA,English,John Lasseter,"John Lasseter, Pete Docter",Pixar Animation Studios,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger, Annie Potts, John Morris, Erik von Detten, Laurie Metcalf, R. Lee Ermey, Sarah Freeman, Penn Jillette, Jack Angel, Spencer Aste",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,$ 30000000,$ 222498679,$ 404265438,95.0,617.0,160.0,862.0
1,2,Jumanji (1995),Adventure|Children's|Fantasy,3.20114122681883,701,2244.0,113497.0,Jumanji,1995,1996-02-23,"Adventure, Comedy, Family",104.0,USA,"English, French",Joe Johnston,"Jonathan Hensleigh, Greg Taylor",TriStar Pictures,"Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce, Bonnie Hunt, Bebe Neuwirth, David Alan Grier, Patricia Clarkson, Adam Hann-Byrd, Laura Bell Bundy, James Handy, Gillian Barber, Brandon Obray, Cyrus Thiedeke, Gary Joseph Thorup","When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.",$ 65000000,$ 100499940,$ 262821940,39.0,255.0,73.0,8844.0
2,3,Grumpier Old Men (1995),Comedy|Romance,3.01673640167364,478,1442.0,113228.0,Grumpier Old Men,1995,1996-04-18,"Comedy, Romance",101.0,USA,"English, Italian, German",Howard Deutch,"Mark Steven Johnson, Mark Steven Johnson",Lancaster Gate,"Walter Matthau, Jack Lemmon, Sophia Loren, Ann-Margret, Burgess Meredith, Daryl Hannah, Kevin Pollak, Katie Sagona, Ann Morgan Guilbert, James Andelin, Marcus Klemp, Max Wright, Cheryl Hawker, Wayne A. Evenson, Allison Levine","John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",$ 25000000,$ 71518503,$ 71518503,46.0,65.0,29.0,15602.0
3,4,Waiting to Exhale (1995),Comedy|Drama,2.7294117647058824,170,464.0,114885.0,Waiting to Exhale,1995,1996-01-18,"Comedy, Drama, Romance",124.0,USA,English,Forest Whitaker,"Terry McMillan, Terry McMillan",Twentieth Century Fox,"Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon, Gregory Hines, Dennis Haysbert, Mykelti Williamson, Michael Beach, Leon, Wendell Pierce, Donald Faison, Jeffrey D. Sams, Jazz Raycole, Brandon Hammond, Kenya Moore","Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.",$ 16000000,$ 67052156,$ 81452156,,53.0,29.0,31357.0
4,5,Father of the Bride Part II (1995),Comedy,3.0067567567567566,296,890.0,113041.0,Father of the Bride Part II,1995,1996-02-02,"Comedy, Family, Romance",106.0,USA,English,Charles Shyer,"Albert Hackett, Frances Goodrich",Sandollar Productions,"Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley, George Newbern, Kieran Culkin, BD Wong, Peter Michael Goetz, Kate McGregor-Stewart, Jane Adams, Eugene Levy, Rebecca Chambers, April Ortiz, Dulcy Rogers, Kathy Anthony","George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",$ 30000000,$ 76594107,$ 76594107,49.0,70.0,38.0,11862.0
5,6,Heat (1995),Action|Crime|Thriller,3.8787234042553194,940,3646.0,113277.0,Heat,1995,1996-02-09,"Crime, Drama, Thriller",170.0,USA,"English, Spanish",Michael Mann,Michael Mann,Warner Bros.,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Tom Sizemore, Diane Venora, Amy Brenneman, Ashley Judd, Mykelti Williamson, Wes Studi, Ted Levine, Dennis Haysbert, William Fichtner, Natalie Portman, Tom Noonan",A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,$ 60000000,$ 67436818,$ 187436818,76.0,1088.0,210.0,949.0
6,7,Sabrina (1995),Comedy|Romance,3.410480349344978,458,1562.0,114319.0,Sabrina,1995,1996-03-01,"Comedy, Drama, Romance",127.0,"Germany, USA","English, French",Sydney Pollack,"Samuel A. Taylor, Billy Wilder",Constellation Entertainment,"Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand, John Wood, Richard Crenna, Angie Dickinson, Lauren Holly, Dana Ivey, Miriam Colon, Elizabeth Franz, Fanny Ardant, Valérie Lemercier, Patrick Bruel, Becky Ann Baker","An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",$ 58000000,$ 53672080,$ 53672080,56.0,137.0,47.0,11860.0
7,8,Tom and Huck (1995),Adventure|Children's,3.014705882352941,68,205.0,112302.0,Tom and Huck,1995,1995-12-22,"Adventure, Comedy, Drama",97.0,USA,English,Peter Hewitt,"Mark Twain, Stephen Sommers",Walt Disney Pictures,"Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket, Amy Wright, Michael McShane, Marian Seldes, Rachael Leigh Cook, Lanny Flaherty, Courtland Mead, Peter Mackenzie, Heath Lamberts, William Newman, Joey Stinson, Blake Heron",Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,,$ 23920048,$ 23920048,,26.0,14.0,45325.0
8,9,Sudden Death (1995),Action,2.656862745098039,102,271.0,114576.0,Sudden Death,1995,1996-04-19,"Action, Crime, Thriller",111.0,USA,English,Peter Hyams,"Karen Elise Baldwin, Gene Quintano",Universal Pictures,"Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright, Ross Malinger, Dorian Harewood, Kate McNeil, Michael Gaston, Audra Lindley, Brian Delate, Steve Aronson, Michael R. Aubele, Karen Elise Baldwin, Jennifer D. Bowser, Pat Brisson",A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,$ 35000000,$ 20350171,$ 64350171,,123.0,67.0,9091.0
9,10,GoldenEye (1995),Action|Adventure|Thriller,3.5405405405405403,888,3144.0,113189.0,GoldenEye,1995,1996-01-12,"Action, Adventure, Thriller",130.0,"UK, USA","English, Russian, Spanish",Martin Campbell,"Ian Fleming, Michael France",Eon Productions,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker, Judi Dench, Robbie Coltrane, Tchéky Karyo, Gottfried John, Alan Cumming, Desmond Llewelyn, Samantha Bond, Michael Kitchen, Serena Gordon, Simon Kunz","Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as ""GoldenEye"" is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon.",$ 60000000,$ 106429941,$ 352194034,65.0,479.0,92.0,710.0
